iter	Passed	Remaining
0	7	2852
1	13	2740
2	19	2631
3	26	2619
4	32	2557
5	38	2513
6	46	2602
7	51	2544
8	58	2536
9	64	2504
10	69	2469
11	76	2459
12	81	2440
13	87	2419
14	94	2416
15	99	2397
16	106	2394
17	112	2387
18	118	2373
19	125	2380
20	131	2369
21	138	2374
22	146	2404
23	153	2410
24	160	2410
25	167	2410
26	179	2475
27	185	2469
28	196	2509
29	202	2495
30	208	2482
31	214	2464
32	220	2453
33	226	2439
34	232	2423
35	239	2423
36	245	2408
37	251	2396
38	257	2382
39	263	2368
40	269	2361
41	275	2350
42	281	2337
43	288	2333
44	294	2320
45	300	2314
46	306	2303
47	312	2291
48	319	2285
49	324	2272
50	331	2265
51	337	2258
52	343	2248
53	349	2240
54	355	2229
55	361	2219
56	367	2214
57	373	2203
58	379	2195
59	386	2187
60	391	2177
61	400	2180
62	406	2176
63	413	2168
64	418	2159
65	424	2148
66	431	2142
67	437	2135
68	443	2128
69	449	2119
70	455	2111
71	462	2106
72	468	2097
73	474	2089
74	481	2084
75	487	2077
76	494	2074
77	500	2066
78	506	2057
79	513	2053
80	519	2045
81	525	2039
82	531	2031
83	537	2023
84	546	2026
85	552	2017
86	559	2012
87	565	2003
88	570	1995
89	577	1990
90	584	1983
91	590	1976
92	596	1968
93	602	1960
94	609	1956
95	615	1949
96	622	1943
97	628	1935
98	633	1927
99	640	1920
100	645	1912
101	651	1904
102	658	1897
103	664	1889
104	670	1883
105	676	1875
106	682	1867
107	688	1862
108	694	1855
109	701	1848
110	707	1842
111	713	1835
112	721	1832
113	727	1825
114	733	1818
115	739	1811
116	745	1804
117	753	1800
118	759	1793
119	766	1787
120	772	1780
121	778	1774
122	787	1772
123	793	1765
124	799	1759
125	806	1753
126	812	1745
127	819	1741
128	825	1734
129	832	1729
130	838	1722
131	845	1716
132	852	1711
133	858	1704
134	867	1702
135	874	1696
136	882	1693
137	889	1688
138	896	1684
139	902	1676
140	909	1669
141	916	1665
142	922	1658
143	931	1655
144	937	1648
145	944	1642
146	950	1635
147	955	1627
148	962	1621
149	968	1614
150	975	1607
151	981	1601
152	987	1594
153	994	1588
154	1000	1581
155	1006	1574
156	1013	1568
157	1019	1561
158	1026	1555
159	1032	1548
160	1038	1541
161	1045	1535
162	1051	1528
163	1058	1522
164	1064	1515
165	1070	1509
166	1077	1503
167	1083	1496
168	1090	1490
169	1096	1483
170	1102	1476
171	1109	1471
172	1115	1464
173	1122	1457
174	1128	1450
175	1134	1444
176	1141	1438
177	1147	1431
178	1154	1425
179	1161	1419
180	1167	1412
181	1178	1411
182	1185	1405
183	1192	1399
184	1199	1393
185	1207	1389
186	1215	1384
187	1222	1378
188	1231	1374
189	1239	1370
190	1248	1365
191	1255	1360
192	1262	1354
193	1270	1349
194	1277	1342
195	1284	1336
196	1291	1331
197	1301	1327
198	1308	1321
199	1314	1314
200	1322	1309
201	1328	1302
202	1335	1295
203	1341	1288
204	1348	1283
205	1354	1275
206	1361	1269
207	1368	1262
208	1374	1255
209	1380	1249
210	1387	1242
211	1426	1264
212	1436	1261
213	1445	1256
214	1453	1250
215	1470	1252
216	1480	1248
217	1488	1242
218	1498	1238
219	1508	1234
220	1516	1228
221	1524	1222
222	1531	1215
223	1536	1207
224	1543	1200
225	1549	1193
226	1556	1186
227	1563	1179
228	1569	1171
229	1576	1165
230	1582	1157
231	1588	1150
232	1596	1144
233	1602	1136
234	1609	1130
235	1615	1122
236	1622	1116
237	1629	1108
238	1635	1101
239	1642	1094
240	1648	1087
241	1655	1080
242	1661	1073
243	1667	1066
244	1675	1059
245	1681	1052
246	1690	1046
247	1696	1039
248	1702	1032
249	1708	1025
250	1714	1017
251	1721	1011
252	1727	1003
253	1733	996
254	1739	989
255	1745	981
256	1752	975
257	1758	967
258	1764	960
259	1771	953
260	1777	946
261	1784	939
262	1789	932
263	1795	925
264	1802	918
265	1808	910
266	1814	903
267	1820	896
268	1826	889
269	1836	884
270	1842	877
271	1849	870
272	1855	863
273	1861	855
274	1867	849
275	1873	841
276	1880	834
277	1886	827
278	1892	820
279	1898	813
280	1904	806
281	1910	799
282	1917	792
283	1923	785
284	1930	778
285	1936	771
286	1942	764
287	1949	758
288	1955	750
289	1961	744
290	1968	737
291	1974	730
292	1981	723
293	1988	716
294	1994	710
295	2001	703
296	2008	696
297	2014	689
298	2020	682
299	2027	675
300	2033	668
301	2041	662
302	2047	655
303	2053	648
304	2060	641
305	2066	634
306	2074	628
307	2080	621
308	2086	614
309	2094	608
310	2100	601
311	2107	594
312	2112	587
313	2118	580
314	2125	573
315	2131	566
316	2138	559
317	2144	552
318	2150	545
319	2157	539
320	2163	532
321	2169	525
322	2175	518
323	2181	511
324	2188	504
325	2194	498
326	2200	491
327	2207	484
328	2213	477
329	2219	470
330	2226	464
331	2232	457
332	2240	450
333	2246	443
334	2253	437
335	2259	430
336	2265	423
337	2271	416
338	2278	409
339	2284	403
340	2291	396
341	2297	389
342	2304	382
343	2310	376
344	2317	369
345	2323	362
346	2329	355
347	2336	349
348	2342	342
349	2349	335
350	2355	328
351	2362	322
352	2368	315
353	2374	308
354	2381	301
355	2387	295
356	2393	288
357	2399	281
358	2406	274
359	2412	268
360	2419	261
361	2426	254
362	2432	247
363	2438	241
364	2445	234
365	2451	227
366	2458	221
367	2464	214
368	2469	207
369	2476	200
370	2482	194
371	2488	187
372	2496	180
373	2502	173
374	2508	167
375	2514	160
376	2520	153
377	2527	147
378	2533	140
379	2539	133
380	2546	126
381	2552	120
382	2558	113
383	2564	106
384	2570	100
385	2576	93
386	2582	86
387	2589	80
388	2595	73
389	2602	66
390	2608	60
391	2614	53
392	2621	46
393	2627	40
394	2633	33
395	2642	26
396	2647	20
397	2654	13
398	2661	6
399	2667	0
